회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
금오하이텍,2015,-3.172722769,12.81874721,3.257282165,149.4153329,73.11589091,0,0
금오하이텍,2016,-15.8362957,9.96087619,2.263391722,140.5302134,58.55571328,0,0
금오하이텍,2010,-3.535728888,16.16380044,7.120800086,151.6406463,117.9662107,0,0
금오하이텍,2011,-11.04135951,19.12938293,8.414089208,155.9281026,128.1002113,0,0
금오하이텍,2009,10.18446966,20.55078313,10.92185117,152.421301,150.8200129,0,0
금화피에스시,2011,53.3560723,77.5981164,16.64037173,528.2138355,87.85671279,0,0
금화피에스시,2013,47.50527362,74.58763569,18.01166047,564.6102327,116.2247037,0,0
금화피에스시,2012,60.29551104,83.56115661,19.38991047,800.4386792,102.5984333,0,0
금화피에스시,2014,45.39431226,76.53620842,14.55895956,644.3020747,119.9764201,0,0
금화피에스시,2016,48.40861701,72.93113948,13.13291217,464.1781638,109.2925028,0,0
금화피에스시,2017,50.36768785,74.36699948,14.30301885,488.5686516,88.83724654,0,0
금화피에스시,2018,53.96438974,80.5672343,15.04478403,628.1888174,88.88080224,0,0
금화피에스시,2010,53.91458957,76.48008495,15.83439633,558.4550433,122.4471194,0,0
금화피에스시,2015,45.94127305,72.59996413,13.87986569,473.086491,124.8504988,0,0
금화피에스시,2009,55.09003115,77.50869018,16.40443468,619.8107331,105.796495,0,0
기가레인,2014,7.336170584,20.50343646,7.968974444,234.1082397,72.55643763,0,0
기가레인,2015,-7.220514762,8.189024845,-12.35240304,176.435734,40.57550896,0,0
기가레인,2016,-16.09549259,1.82590344,-6.19499834,158.6923873,48.44545087,0,0
기가레인,2017,-2.883023445,0.133819966,2.590534419,195.3849543,55.12973352,0,0
기가레인,2018,9.436264614,-13.44073055,-1.056417455,162.0151412,69.66079811,0,0
기가레인,2010,-45.36878762,-45.45994274,-20.66118202,88.43339904,76.01756979,0,0
기가레인,2009,-31.71265791,-12.06058282,-16.99264926,118.7840734,44.81010231,0,0
기가레인,2013,11.85707844,16.79348715,10.45879721,203.7390461,77.3661079,0,0
기산텔레콤,2011,15.30291793,-21.62650306,-8.465306718,164.7090105,76.14145944,0,0
기산텔레콤,2013,35.61712248,-20.46740514,2.644213353,186.3427342,100.8280736,0,0
기산텔레콤,2012,26.14098515,-27.85708434,5.279736933,175.547109,101.4766083,0,0
기산텔레콤,2014,39.69052376,-18.00624595,0.300076447,197.372131,95.46402942,0,0
기산텔레콤,2009,18.19730269,-14.18784697,-1.257309877,177.2295813,62.07520473,0,0
기산텔레콤,2017,47.26966616,-28.5128981,-1.209846299,199.5652562,90.49043763,0,0
기산텔레콤,2018,47.15193571,-34.0521481,-4.966530107,228.9390954,100.4720945,0,0
기산텔레콤,2010,19.79553708,-12.75353243,4.037793334,193.9510429,102.2574784,0,0
기산텔레콤,2015,50.62351564,-16.43856129,0.198440973,225.2020003,104.8649546,0,0
기산텔레콤,2016,43.62702167,-20.48331159,-2.657877264,216.1090657,79.73634352,0,0
까스텔바작,2016,40.38600719,-2.566436487,8.060676576,350.8144802,52.71841295,0,0
까스텔바작,2018,61.37243413,19.65832839,18.57852892,480.9858982,116.5010766,0,0
까스텔바작,2017,54.92453406,7.270938921,18.16998333,499.5484011,129.65658,0,0
나노,2015,10.79295807,0.928588317,-7.275806384,175.0582934,30.05338364,0,0
나노,2018,8.298943773,15.41906182,0.723431213,221.8652062,75.68976429,0,0
나노,2017,5.465433043,19.02545644,1.666411774,196.2072102,79.81387865,0,0
나노,2016,-5.81604936,4.143529927,-11.2787132,169.8660599,57.73569106,0,0
나노브릭,2017,-47.55424395,-115.2807062,-10.69728567,104.1721576,32.63317981,0,0
나노브릭,2018,-32.9891254,-112.4950818,-7.139674771,109.2017451,39.72952406,0,0
나노브릭,2015,18.3388615,-31.11389514,-22.34037727,262.4053676,1.252264282,0,0
나노브릭,2016,-5.098689587,-54.1127868,-18.26481576,188.0386324,18.86312506,0,0
나노신소재,2012,48.45098038,28.53716716,-0.87705542,581.2610817,34.59214472,0,0
나노신소재,2013,56.38546412,30.77234375,2.014501873,698.8043564,39.9993158,0,0
나노신소재,2011,51.33259828,28.86507308,5.291000258,491.5473258,45.82863383,0,0
나노신소재,2015,64.4840275,37.05712949,10.98202591,872.5144726,51.69647737,0,0
나노신소재,2016,69.67524872,41.51143541,7.490641501,1266.73061,48.8036408,0,0
나노신소재,2017,64.92668253,45.80209581,9.562040446,1470.443808,51.22197289,0,0
나노신소재,2018,64.09791453,48.07272052,8.79331206,1023.133268,53.05618912,0,0
나노신소재,2014,59.9981816,34.15658748,5.077181105,709.6757247,38.96109846,0,0
나노신소재,2010,35.66405544,33.82087934,17.55888607,211.1414861,56.38863985,0,0
나노신소재,2009,32.27813941,26.05701776,13.74015786,186.5645357,53.12541568,0,0
나노엔텍,2010,32.11268392,19.10558053,-4.509289447,471.5488271,42.25011557,0,0
나노엔텍,2013,45.31038748,-2.158173489,2.428662751,211.0824236,42.59578583,0,0
나노엔텍,2014,41.53272699,-8.196639839,0.6001922,557.5773222,45.07198862,0,0
나노엔텍,2015,33.2005922,-19.86000002,-6.333064001,368.9911417,47.1450486,0,0
나노엔텍,2016,34.51148942,-39.78459388,-18.90764427,227.0511723,48.58218801,0,0
나노엔텍,2017,14.60575452,-9.302819625,6.950125627,227.3197726,56.19459864,0,0
나노엔텍,2018,42.98240284,7.719239,7.67550972,601.3406395,61.18546456,0,0
나노엔텍,2009,30.30405803,31.84144831,3.975019212,456.6922156,29.59534779,0,0
나노엔텍,2012,45.58122747,-14.28123251,-10.26362362,207.0646018,30.23382285,0,0
나노엔텍,2011,61.15709758,-11.93673468,-14.03497026,237.5419513,26.49354024,0,0
네이쳐글로벌,2009,74.49204859,-49.80358923,-3.37118151,673.4326222,6.028268015,2011-01-08,1
나노트로닉스,2011,16.79669075,11.501494,1.699777401,171.627963,35.24558909,0,0
나노트로닉스,2009,40.47152644,32.23151946,1.748568925,281.9669434,30.6527129,0,0
나노트로닉스,2010,43.76553248,16.96189548,1.909888692,192.8358969,40.91793275,0,0
나래나노텍,2013,0.074075836,32.3462955,3.96625924,245.0307052,44.60555859,0,0
나래나노텍,2014,-7.103665852,35.87318494,4.299420187,283.1060091,59.41340744,0,0
나래나노텍,2015,-7.428001623,33.59210061,2.334181389,251.5858168,35.60532216,0,0
나래나노텍,2016,-12.44487107,30.37473043,1.233448836,217.6497851,44.67018619,0,0
나래나노텍,2017,-5.784452715,8.590198965,3.09187836,162.9004222,71.68250017,0,0
나래나노텍,2018,-8.36422576,13.74835579,6.18987454,185.9354209,79.55377122,0,0
나래나노텍,2011,23.21407245,35.95854992,1.602898777,343.5934742,54.47905033,0,0
나래나노텍,2010,19.55103011,53.73837436,28.83346929,249.6761848,110.1467668,0,0
나래나노텍,2009,24.83449047,43.39385568,16.59840684,206.6386875,88.73763778,0,0
나래나노텍,2012,12.91574821,40.32405498,4.856788789,403.4542619,58.26471712,0,0
나리지*온,2009,60.77471082,14.06113463,7.637956949,576.8765662,29.53045895,0,0
나무가,2013,1.384933895,2.342824315,2.876805363,122.4823923,240.3348789,0,0
나무가,2014,-1.133049232,2.811963783,3.667587969,116.6709025,161.0685433,0,0
나무가,2012,3.30453765,2.382496985,0.760765116,124.4970805,138.918535,0,0
나무가,2016,16.53577709,7.45441865,-0.911357487,157.7374089,149.3590464,0,0
나무가,2017,-7.387021193,-18.20377543,-15.93160786,127.3549909,180.8560944,0,0
나무가,2018,-5.645830644,-17.95649154,6.917420054,142.5008652,263.3923152,0,0
나무가,2011,-0.687466528,-0.328569447,1.325514555,128.8017239,127.9601706,0,0
나무가,2010,33.978636,-0.050872892,1.296527034,172.4118726,170.2604315,0,0
나무가,2015,13.78973707,8.964308505,11.10228693,141.9783979,198.1023126,0,0
나무가,2009,1.387191497,17.17359733,16.25337036,127.5758467,190.8262814,0,0
나스미디어,2013,51.9105397,30.97835466,6.236496499,237.2539378,25.48333419,0,0
나스미디어,2014,58.20043536,37.39942051,8.82222724,279.1128103,30.6201351,0,0
나스미디어,2015,38.6867316,30.64002969,8.250248547,196.3010751,32.09596545,0,0
나스미디어,2016,17.93978784,19.03718473,5.537672741,165.4683721,26.50109053,0,0
나스미디어,2017,22.05565689,22.69510124,8.119268982,167.8914236,38.06581023,0,0
나스미디어,2018,27.54746902,27.78356261,6.384140577,188.0774014,35.17078911,0,0
나스미디어,2010,33.53857642,22.98377131,8.291301642,175.5998212,24.42099251,0,0
나스미디어,2012,41.72155393,28.42252061,8.395979827,192.7080291,25.87586489,0,0
나스미디어,2011,34.12841134,22.5037051,8.453175368,171.8954437,23.50835792,0,0
나스미디어,2009,36.79406689,20.3387656,3.957522082,180.7706468,20.70355044,0,0
나이벡,2009,-3.61285186,3.724569544,3.922974838,137.0546012,45.79688321,0,0
나이벡,2012,7.232825317,-20.21859381,-4.891456132,216.4858719,23.54673537,0,0
나이벡,2013,0.532720052,-41.86178138,-15.46414983,151.8392845,13.32153107,0,0
나이벡,2016,17.99138184,-71.20260734,-10.88294715,174.9606999,20.91557195,0,0
나이벡,2014,-29.82707423,-76.24476082,-21.37993154,156.0009024,33.82788252,0,0
나이벡,2018,-11.26016743,-104.0993181,-15.24520345,190.0724619,23.33530189,0,0
