회사명,거래소코드,회계년도,종가(원),보통주(천원),시총,상장협 산업분류(대분류),상장협 산업분류(중분류),상장협 산업분류(소분류)
(주)광무,29480,12-14,740,18853386,13951505640,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-15,2170,22555655,48945771350,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-16,1560,22555655,35186821800,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-17,1050,31903723,33498909150,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-18,469,32795285,15380988665,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-19,1000,60855285,60855285000,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)광무,29480,12-20,575,79665776,45807821200,제조업,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",    통신 및 방송 장비 제조업
(주)구영테크,53270,12-10,1680,12859875,21604590000,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-11,1380,12859875,17746627500,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-12,1440,12859875,18518220000,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-13,1485,12859875,19096914375,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-14,1370,19794174,27118018380,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-15,2190,19794174,43349241060,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-16,2365,19794174,46813221510,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-17,2080,19794174,41171881920,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-18,1540,26394174,40647027960,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-19,1820,26394174,48037396680,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)구영테크,53270,12-20,1650,26394174,43550387100,제조업,  자동차 및 트레일러 제조업,    자동차 신품 부품 제조업
(주)국보디자인,66620,12-10,3475,7500000,26062500000,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-11,4875,7500000,36562500000,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-12,6800,7500000,51000000000,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-13,10100,7500000,75750000000,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-14,13600,7500000,1.02E+11,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
(주)국보디자인,66620,12-15,19300,7500000,1.4475E+11,건설업,  전문직별 공사업,    실내건축 및 건축마무리 공사업
