회사명,거래소코드,회계년도,종가(원),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),시총
(주)에스에프에이,56190,12-21,36050,35908760,1.29451E+12
(주)에스에프에이,56190,12-21,36050,35908760,1.29451E+12
(주)에스에프에이반도체,36540,12-21,7690,164460303,1.2647E+12
(주)에스에프에이반도체,36540,12-21,7690,164460303,1.2647E+12
(주)에스엘바이오닉스,214310,12-21,6950,4579603,31828240850
(주)에스엘바이오닉스,214310,12-21,6950,4579603,31828240850
(주)에스엠라이프디자인그룹,63440,12-21,3000,45429154,1.36287E+11
(주)에스엠라이프디자인그룹,63440,12-21,3000,45429154,1.36287E+11
(주)에스엠엔터테인먼트,41510,12-21,74200,23745901,1.76195E+12
(주)에스엠엔터테인먼트,41510,12-21,74200,23745901,1.76195E+12
(주)에스엠컬처앤콘텐츠,48550,12-21,4485,95516120,4.2839E+11
(주)에스엠컬처앤콘텐츠,48550,12-21,4485,95516120,4.2839E+11
(주)에스엠코어,7820,12-21,7110,20033946,1.42441E+11
(주)에스엠코어,7820,12-21,7110,20033946,1.42441E+11
(주)에스제이그룹,306040,12-21,21550,9865828,2.12609E+11
(주)에스제이그룹,306040,12-21,21550,9865828,2.12609E+11
(주)에스제이그룹,306040,12-21,21550,0,0
(주)에스지엔지,40610,12-21,2385,34087196,81297962460
(주)에스지엔지,40610,12-21,2385,34087196,81297962460
(주)에스코넥,96630,12-21,1905,66167999,1.2605E+11
(주)에스코넥,96630,12-21,1905,66167999,1.2605E+11
(주)에스텍파마,41910,12-21,9600,11898263,1.14223E+11
(주)에스텍파마,41910,12-21,9600,11898263,1.14223E+11
(주)에스티아이,39440,12-21,21200,15830000,3.35596E+11
(주)에스티아이,39440,12-21,21200,15830000,3.35596E+11
(주)에스티오,98660,12-21,2505,12500976,31314944880
(주)에스티오,98660,12-21,2505,12500976,31314944880
(주)에스티큐브,52020,12-21,8330,1325380,11040415400
(주)에스티큐브,52020,12-21,8330,30575903,2.54697E+11
(주)에스티큐브,52020,12-21,8330,31901283,2.65738E+11
(주)에스폴리텍,50760,12-21,3810,16334678,62235123180
(주)에스폴리텍,50760,12-21,3810,16334678,62235123180
(주)에스피시스템스,317830,12-21,10200,8145700,83086140000
(주)에스피시스템스,317830,12-21,10200,8145700,83086140000
(주)에스피지,58610,12-21,11850,22177360,2.62802E+11
(주)에스피지,58610,12-21,11850,22177360,2.62802E+11
(주)에쎈테크,43340,12-21,1040,72000000,74880000000
(주)에쎈테크,43340,12-21,1040,72000000,74880000000
(주)에이디칩스,54630,12-21,832,79709461,66318271552
(주)에이디칩스,54630,12-21,832,79709461,66318271552
(주)에이디테크놀로지,200710,12-21,24100,13329832,3.21249E+11
(주)에이디테크놀로지,200710,12-21,24100,13329832,3.21249E+11
(주)에이디테크놀로지,200710,12-21,24100,0,0
(주)에이루트,96690,12-21,708,158489750,1.12211E+11
(주)에이루트,96690,12-21,708,158489750,1.12211E+11
(주)에이비프로바이오,195990,12-21,965,260203996,2.51097E+11
(주)에이비프로바이오,195990,12-21,965,260203996,2.51097E+11
(주)에이스침대,3800,12-21,43050,11090000,4.77425E+11
(주)에이스침대,3800,12-21,43050,11090000,4.77425E+11
(주)에이스테크놀로지,88800,12-21,15100,43723601,6.60226E+11
(주)에이스테크놀로지,88800,12-21,15100,4777185,72135493500
(주)에이스테크놀로지,88800,12-21,15100,48500786,7.32362E+11
(주)에이스토리,241840,12-21,30050,9531760,2.86429E+11
(주)에이스토리,241840,12-21,30050,9531760,2.86429E+11
(주)에이치비테크놀러지,78150,12-21,2680,0,0
